Title,Review,Username,Rating,HS,Spoiler,Episode,Helpfully viewed,Views
Worst writing on modern TV,"The writing and directing in this show is just absolutely horrible.Why would the people leave a fortified place to fight orcs in an open village?Why does arondir shoot his bow like that?Why does brownwyn lead the humans when she was just a healer before and human elf relationships are looked down upon?Why do the people from numenor suddenly love galadriel, what has she done to deserve it and why is she leading after acting like a spoiled teenager the last 5 episodes?Why make Theo burn his own mother when anyone else could have done it and why does everyone else watch instead of preparing for the orcs that are on their doorstep?Why does galdriel keep adar alive just for torture when it will clearly turn out to be a bad choice?Because f you thats why. Such poor writing its insultingAlso the fake suspense building is just horrible directing. For example when arondir has boss battle orc about to stab him I was 100% sure that brownwyn would save him, it made the scene very stupid even before it happened. Also when browywyn got shot with an arrow I was also completely certain she would live. Then yet again when theo gives them the sword. It was very obvious that the Numenors that were shown galloping 3 minutes before this would somehow find the village just in time to save the characters with plot Armour because Adar for some reason didnt kill them right away This doesnt build suspense, just takes you out of the show even more.And every little bit of diaogue is so corny it hurts.One can not satisfy thirst by drinking sea water really galadriel? Bad acting and writing merged to birth this monstrosity of a fanfiction character.I could keep nitpicking but I think I will spend my time watching something that the writers arent trying to insult my intelligence.Tune in next week to see how galadriel and friends survive a volcano!",fireandblood-46400,1,0.5013623978201635,Yes,Udûn,184,367
Tolkien turned over in his grave.,"You killed Celeborn? Really? What now, are you guys going to get galadriel and Halbrand married? From now on, this storyline has expired for me. You didnt read the books I can understand that. But didnt you looked to the family tree charts. Have can Celeborn died. Will you say that Celeborn is not dead, he is aliveeeee later. Wonderful script, wonderful show. This would be a perfect example of plot twist. I mean woow. Okay we accepted that Galadriel is full of anger and passion of revenge. And she is a 5000 years old teenager. She is taking advices from Amazon-created Miriel who is more clever than one of the mightiest elf (Galadriel).Whatever, it was a really great episode, thank you for all of your efforts for this episode. Especially production crew made a wonderful job. But script writers, I dont wanna say anything to you.:D.",onatmf,1,0.6592592592592592,Yes,The Eye,89,135
dont like having to do singular reviews after doing a general one but this needs it,"In my general review for this, I explained how the series had shown what it is within the first 2 episodes and after this I realised that what I thought was the worst was actually the heights of creativity that existed in the people behind this....questionable idea, because it got worse and worse and worse as it went along.So brace yourselves, we have spoilers coming in and imdb the tag is up as of this second. Here we go.I argued with people that the eruption of the volcano in the previous episode was not Mt Doom as the topography of Middle Earth would make no sense if it was, that established lore in the appendices of LOTR tells what happened within the land where shadows dwell. To give as small of a briefing as I can, it was forged in the First Age by Morgoth and was his central home, he led the assault on all of Middle-Earth from there and yes, even the Mountain of Fire was there in the First Age.So that argument is wrong right off that the Southlands is Modor.Then of course theres the fact that Mordor is in the East and not the South, as the Enemy is in the East is why the cry of the Men of the West was used by the Free Peoples against Sauron in the 3rd Age.The decisions and ideas shown by characters throughout this has been terrible, from homicidal harfoots to now regicidal Dwarf Princesses. And all of this is before the influence of the Rings of Power that twist and heighten the negative traits of all the Races when they use them (its heavily implied that the reason the Dwarves of Dwarrowdelf became obsessed with Mithril is because of one of the 7 Dwarven Rings of Power that made them far greedier) so heaven help people when that corruption starts acting up.Everything about this series is a travesty and a nightmare, nothing is worth it and it harms everyone involved in various ways.",HardLight,1,0.6,Yes,The Eye,66,110
So bad...,"Had this show been based on a new unproved universe with a B-budget, then sure.. It would have gone down as an forgettable adventure series worthy of about 6-7 stars, however...Bearing in mind that this is the most expensive tv-show ever and is based on the much loved and well-developed universe of Tolkien, it is just so painfully done. The writing is dull, the characters are dull. The CGI-effects are beautiful, but when it comes to the movie props, even these are off.It is truely a shame that they seem to have spend all the budget on CGI-effects and left nothing for the writers or getting a proper cast of actors.On the plus side though. It really makes us appreciate House of Dragons even more...",anders-skrivermoeller,1,0.6176470588235294,No,The Eye,42,68
Worst episode so far,"One episode away from the finale this is the absolute low point of the series so far.The dialogues are so bad I cringed several times and then you dont know if you should laugh at or weep at all the wasted effort and budget.Its pathetic how they try to keep it interesting and maintain an air of mystery by just omitting things or not explaining them.The acting - or the actors - are not even mediocre.Through episode 7 there is not a single character that has succeeded to form a bond with me ad a viewer and worst of all, nobody shows a even a spark of charisma.Its all just a big harassment of Tolkiens legacy bit without the spirit.",stef2000,1,0.6875,No,The Eye,11,16
"Plot armor, no tension, nothing of importance","The writters made a conscious choice to make the burst from the volcano deadly for the village of the south were our main cast is. Nothing make them do it, its far from the mountain, so the volcanic explosion might not reached their place, but they chose to, they showed how the blast impacted with such force that it was capable to tear down walls and put things to fire.After that scene, seems that none of the heroes was actually injured by it, despite not seeking for shelter when the blast hit them. A couple of random villagers was gravelly wounded and other characters receive some injuries from fires, but thats it. We now have complete confirmation that our characters have huge plot armor. We are also teased yet again with the death of Browyn, after been tesed with deaths like that at least 4 times in the previous episode. Gets really boring.The volcanic eruption also reaches the non-hobbit fella, but it does in a funny way, you only see craters where the fruit trees were, and the characters seems to be unaware of the eruption, so it seems that they did not see huge boulders of fire rock flying in the direction.We also got to enjoy how the writters keeps stealing things from Peter Jackson movies, like manflesh line, or horses that goes to save fallen Numenoreans.",luisq05,1,0.7272727272727273,Yes,The Eye,8,11
Disaster!,"The most dissapointed series of about lord of the rings. You cannot be more disrecpectful to tolkien. After this series tolkien wont be able to rest in peace aynmore. We saw galadriel was searcing the miriel,halbrand and elendil in a little village! But after that scene she left the town even not searching for them! More funny things about this episode they came with horses to the town and got back to the military camp even shortest time than they came to town on the horses. Another thing is how the queen got blind! She was able to see at beginnig of the episode but how come she got blind later in this episode?",aliyugokmen-91007,1,0.55,Yes,The Eye,22,40
A pointless experience,"Well, now that I have seen the full furst season, I warn you: if youre a Tolkien fan, dont bother. They alter events, create different sotires without purpose. They specifically bought a story with a big fan base so as to utilize it economically without respecting what made the story wonderful: detail, attention, love and respect for its characters.On the other hand, if youre just a fan of fantasy shows: there really are many better ones. The writing lacks pacing and characters are built either like mary sues or incoherent plot enabling people, with whom the audience cant really click.All in all, it is disturbing that so many are trying to save this by recommending with what seem rather political stances, rather than positions based on the quality of the product (which should be what attracted us to this) not the case, its been politicized. What a shame of a show (pun intended).",tinuvielson,1,0.7142857142857143,No,The Eye,5,7
"I will say, I have laughed a lot.","I have never, never in my life flipped my mindset about a show in order to get through episodes, so this is a first.I dont know what happened in this episode and the last, but I have started laughing out loud at some of the scenes as they almost literally, pop my mind.The Volcano, the fire, the survivors, the dumb, dumb logic of leaving them all screaming for help. I now laugh at these strange decisions as they appear on screen. There is drama or suspense any more, only audible laughs as each dumb moment, each failing quote presents itself and then disappears.What a shame that such incredible source material must be reduced to this.So bad, I have cancelled Prime.",chrisjones0,1,0.5555555555555556,No,The Eye,5,9
What are you doing guys?,"Seriously. What are you doing guys?Why is Elrond walking Moria about 7 episodes? Where is Cerebrimbor? Hobbits all scenes are so boring enough for Stranger scenes. We do not want to know who is Sauron or who is Stranger anymore. You can not make a strange ambiance like Lost or etc.Galadriel is a horrible character. Please change her dialogue. She is like a teenage girl.Adar? Who is he? Yes, we understood half orc/half elf but please just explain in detail. You can not do a mystery series. Mordor scene was so cringe.Please fire these guys and make a new plan. This show is horrible. Just horrible.",the_nsk33,1,0.6,Yes,The Eye,3,5
